Type,Title,Year,Score,Gross
Color,My Fellow Americans ,1996,6.5,22294341
Color,My Girl ,1991,6.8,59847242
Color,My Last Day Without You ,2011,5.7,
Color,My Life in Ruins ,2009,5.9,8662318
Color,My Life Without Me ,2003,7.6,395592
Color,My Lucky Star ,2013,5.1,50000
Color,My Name Is Bruce ,2007,6.3,173066
Color,My Name Is Khan ,2010,8,4018695
Color,My Own Private Idaho ,1991,7.1,6401336
Color,My Sister's Keeper ,2009,7.4,49185998
Color,My Soul to Take ,2010,4.8,29274980
Color,My Stepmother Is an Alien ,1988,5.2,13854000
Color,My Summer of Love ,2004,6.8,992238
Color,My Super Ex-Girlfriend ,2006,5.1,22526144
Color,My Week with Marilyn ,2011,7,14597405
Color,Mystery Men ,1999,6,29655590
Color,"Mystery, Alaska ",1999,6.7,8888143
Color,Mystic Pizza ,1988,6.2,12793213
Color,Mystic River ,2003,8,90135191
Color,Nacho Libre ,2006,5.7,80197993
Color,Naked Gun 33 1/3: The Final Insult ,1994,6.4,51109400
Color,Namastey London ,2007,7.3,1207007
Color,Nancy Drew ,2007,5.9,25584685
Color,Nanny McPhee Returns ,2010,6.1,28995450
Color,Nanny McPhee ,2005,6.6,47124400
Color,Napoleon Dynamite ,2004,6.9,44540956
Color,Narc ,2002,7.2,10460089
Color,National Lampoon's Vacation ,1983,7.4,61400000
Color,National Treasure ,2004,6.9,173005002
Color,Naturally Native ,1998,6.5,10508
Color,Navy Seals vs. Zombies ,2015,3.4,
Color,Neal 'N' Nikki ,2005,3.3,100358
Black and White,Nebraska ,2013,7.8,17613460
Color,Need for Speed ,2014,6.5,43568507
Color,Neighbors 2: Sorority Rising ,2016,6,55291815
Color,Neighbors ,2014,6.4,150056505
Color,Nerve ,2016,7.1,28876924
Color,Network ,1976,8.1,
Color,Never Again ,2001,6,295468
Color,Never Back Down 2: The Beatdown ,2011,5.8,
Color,Never Back Down ,2008,6.6,24848292
Color,Never Let Me Go ,2010,7.2,2412045
Color,Never Say Never Again ,1983,6.2,55500000
Color,New in Town ,2009,5.6,16699684
Color,New Nightmare ,1994,6.4,18090181
Color,New Year's Eve ,2011,5.7,54540525
Color,New York Minute ,2004,4.8,14018364
Color,New York Stories ,1989,6.4,10763469
Color,"New York, New York ",1977,6.7,
Color,Newlyweds ,2011,6.4,4584
Color,Next Day Air ,2009,5.9,10017041
Color,Next Friday ,2000,6.1,57176582
Color,Next Stop Wonderland ,1998,6.7,3386698
Color,Niagara ,1953,7.1,
Color,Nicholas Nickleby ,2002,7.2,1309849
Color,Nick and Norah's Infinite Playlist ,2008,6.7,31487293
Color,Night at the Museum ,2006,6.4,250863268
Color,Night at the Museum: Battle of the Smithsonian ,2009,5.9,177243721
Color,Night at the Museum: Secret of the Tomb ,2014,6.2,113733726
Black and White,Night of the Living Dead ,1968,8,
Color,Night Watch ,2004,6.5,1487477
Color,Nightcrawler ,2014,7.9,32279955
Color,Nighthawks ,1981,6.4,
Color,Nim's Island ,2008,6,48006503
Color,Nine Dead ,2010,5.5,
Color,Nine Queens ,2000,7.9,1221261
Black and White,Nine ,2009,5.8,19673424
Color,Ninja Assassin ,2009,6.4,38105077
Black and White,Nixon ,1995,7.1,13560960
Color,No Country for Old Men ,2007,8.1,74273505
Color,No End in Sight ,2007,8.3,1430185
Color,No Escape ,2015,6.8,27285953
Color,No Good Deed ,2014,5.6,52543632
Color,No Man's Land: The Rise of Reeker ,2008,4.9,
Color,No Reservations ,2007,6.3,43097652
Color,No Strings Attached ,2011,6.2,70625986
Color,No Vacancy ,2012,4.2,
Color,Noah ,2014,5.8,101160529
Color,Nomad: The Warrior ,2005,6,77231
Color,Non-Stop ,2014,7,91439400
Color,North Country ,2005,7.3,18324242
Color,Northfork ,2003,6.4,1420578
Color,Not Another Teen Movie ,2001,5.7,37882551
Color,Not Cool ,2014,5.1,35688
Color,Not Easily Broken ,2009,6.1,10572742
Color,Notes on a Scandal ,2006,7.4,17508670
Black and White,Nothing But a Man ,1964,8.1,12438
Color,Nothing to Lose ,1997,6.7,44455658
Color,Nothing ,2003,6.3,
Color,Notting Hill ,1999,7,116006080
Color,November ,2004,5.5,191309
Color,Novocaine ,2001,5.8,2025238
Color,Now Is Good ,2012,7.2,
Color,Now You See Me 2 ,2016,6.9,64685359
Color,Now You See Me ,2013,7.3,117698894
Color,Nowhere Boy ,2009,7.2,1445366
Color,Nowhere in Africa ,2001,7.7,6173485
Color,Nowhere to Run ,1993,5.5,22189039
Color,N-Secure ,2010,3.5,2592808
Color,Nurse 3D ,2013,4.6,
Color,Nurse Betty ,2000,6.3,25167270
Color,Nutty Professor II: The Klumps ,2000,4.3,123307945
Color,"O Brother, Where Art Thou? ",2000,7.8,45506619
Color,O ,2001,6.2,32034806
Color,Obitaemyy ostrov ,2009,5.3,
Color,Oblivion ,2013,7,89021735
Color,Observe and Report ,2009,5.8,23993605
Color,Obvious Child ,2014,6.8,3122616
Color,Ocean's Eleven ,2001,7.8,183405771
Color,Ocean's Thirteen ,2007,6.9,117144465
Color,Ocean's Twelve ,2004,6.4,125531634
Color,Oceans ,2009,7.8,19406406
Color,October Baby ,2011,6.8,5355847
Color,Octopussy ,1983,6.6,67900000
Color,Oculus ,2013,6.5,27689474
Color,Of Gods and Men ,2010,7.2,3950029
Color,Of Horses and Men ,2013,6.9,11835
Color,Office Space ,1999,7.8,10824921
Color,Old Dogs ,2009,5.4,49474048
Color,Old Joy ,2006,6.7,255352
Color,Old School ,2003,7.2,74608545
Color,Oldboy ,2003,8.4,2181290
Color,Oliver Twist ,2005,6.9,1987287
Color,Oliver! ,1968,7.5,16800000
Color,Olympus Has Fallen ,2013,6.5,98895417
Color,On Deadly Ground ,1994,4.4,38590500
Color,On Her Majesty's Secret Service ,1969,6.8,22800000
Color,On the Downlow ,2004,6.1,
Color,On the Line ,2001,4.1,4356743
Color,On the Outs ,2004,6.9,
Color,On the Road ,2012,6.1,717753
Black and White,On the Waterfront ,1954,8.2,9600000
Color,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,2006,7.3,144431
Color,Once Upon a Time in America ,1984,8.4,5300000
Color,Once Upon a Time in Mexico ,2003,6.4,55845943
Color,Once Upon a Time in the West ,1968,8.6,
Color,Once ,2007,7.9,9437933
Color,Ondine ,2009,6.8,548934
Color,One Day ,2011,7,13766014
Color,One Direction: This Is Us ,2013,4.1,28873374
Color,One Flew Over the Cuckoo's Nest ,1975,8.7,112000000
Color,One for the Money ,2012,5.3,26404753
Color,One Hour Photo ,2002,6.8,31597131
Color,One Man's Hero ,1999,6.2,229311
Color,One Missed Call ,2008,3.9,26876529
Color,One Night with the King ,2006,6.3,13391174
Color,One to Another ,2006,5.8,18435
Color,One True Thing ,1998,7,23209440
Color,Ong-bak 2 ,2008,6.2,102055
Color,Only God Forgives ,2013,5.7,778565
Color,Only the Strong ,1993,6.7,3273588
Color,Opal Dream ,2006,6.6,13751
Color,Open Range ,2003,7.5,58328680
Color,Open Road ,2013,5.5,
Color,Open Season ,2006,6.2,84303558
Black and White,Open Secret ,1948,7.1,
Color,Open Water ,2003,5.7,30500882
Color,Operation Chromite ,2016,6.8,31662
Black and White,Ordet ,1955,8.1,
Color,Ordinary People ,1980,7.8,54800000
Color,Orgazmo ,1997,6.2,582024
Color,Original Sin ,2001,6,16252765
Color,Orphan ,2009,7,41573740
Color,Osama ,2003,7.4,1127331
Color,Oscar and Lucinda ,1997,6.7,1508689
Color,Osmosis Jones ,2001,6.2,13596911
Color,Ouija ,2014,4.4,50820940
Color,Our Brand Is Crisis ,2015,6.1,6998324
Color,Our Family Wedding ,2010,4.9,20246959
Color,Our Idiot Brother ,2011,6.4,24809547
Color,Our Kind of Traitor ,2016,6.4,3108216
Color,Out Cold ,2001,6.3,13903262
Color,Out of Africa ,1985,7.2,87100000
Color,Out of Inferno ,2013,5.7,
Color,Out of Sight ,1998,7,37339525
Color,Out of the Blue ,2006,7.3,728
Color,Out of the Blue ,1980,7.2,
Color,Out of the Dark ,2014,4.7,
Color,Out of the Furnace ,2013,6.8,11326836
Color,Out of Time ,2003,6.5,40905277
Color,Outbreak ,1995,6.6,67823573
Color,Outside Bet ,2012,4.8,
Color,Outside Providence ,1999,6.4,7292175
Color,Over Her Dead Body ,2008,5.2,7563670
Color,Over the Hedge ,2006,6.8,155019340
Black and White,Over the Hill to the Poorhouse ,1920,4.8,3000000
Color,Owning Mahowny ,2003,7.2,1011054
Color,Oz the Great and Powerful ,2013,6.4,469806152
Color,P.S. I Love You ,2007,7.1,53680848
Color,Paa ,2009,7.2,199228
Color,Pacific Rim ,2013,7,101785482
Color,Paddington ,2014,7.2,76137505
Color,Pain & Gain ,2013,6.5,49874933
Color,Paint Your Wagon ,1969,6.7,
Color,Pale Rider ,1985,7.3,41400000
Color,Palo Alto ,2013,6.3,750100
Color,Pan ,2015,5.8,104894454
Color,Pandaemonium ,2000,6.6,
Black and White,Pandora's Box ,1929,8,9950
Color,Pandorum ,2009,6.8,10326062
Color,Panic Room ,2002,6.8,95308367
Color,Pan's Labyrinth ,2006,8.2,37623143
Color,Paparazzi ,2004,5.8,15712072
Color,Paper Towns ,2015,6.4,31990064
Color,Paranormal Activity 2 ,2010,5.7,84749884
Color,Paranormal Activity 3 ,2011,5.8,104007828
Color,Paranormal Activity 4 ,2012,4.6,53884821
Color,Paranormal Activity ,2007,6.3,107917283
Color,Paranormal Activity: The Marked Ones ,2014,5,32453345
Color,ParaNorman ,2012,7,55994557
Color,Parental Guidance ,2012,6.1,77264926
Color,"Paris, je t'aime ",2006,7.3,4857376
Color,Parker ,2013,6.2,17609982
Color,Partition ,2007,7,
Color,Party Monster ,2003,6.3,296665
Color,Passchendaele ,2008,6.5,
Color,Pat Garrett & Billy the Kid ,1973,7.4,
Color,Patch Adams ,1998,6.7,135014968
Color,Pathology ,2008,6,108662
Color,Patriot Games ,1992,6.9,83287363
Color,Patton ,1970,8,
Color,Paul Blart: Mall Cop 2 ,2015,4.4,71038190
Color,Paul Blart: Mall Cop ,2009,5.2,20819129
Color,Paul ,2011,7,37371385
Color,Pay It Forward ,2000,7.2,33508922
Color,Payback ,1999,7.1,81517441
Color,Paycheck ,2003,6.3,53789313
Color,PCU ,1994,6.5,4350774
Color,"Peace, Propaganda & the Promised Land ",2004,8.3,
Color,Peaceful Warrior ,2006,7.3,1055654
Black and White,Pearl Harbor ,2001,6.1,198539855
Color,Peeples ,2013,5.3,9123834
Color,Peggy Sue Got Married ,1986,6.3,41382841
Color,Penguins of Madagascar ,2014,6.7,83348920
Color,Penitentiary ,1979,5.8,
Color,People I Know ,2002,5.5,121972
Color,Percy Jackson & the Olympians: The Lightning Thief ,2010,5.9,88761720
Color,Percy Jackson: Sea of Monsters ,2013,5.9,68558662
Color,Perfect Cowboy ,2014,7,
Color,Perfume: The Story of a Murderer ,2006,7.5,2208939
Color,Perrier's Bounty ,2009,6.4,828
Color,Persepolis ,2007,8,4443403
Color,Pet Sematary ,1989,6.6,57469179
Color,Pete's Dragon ,2016,7.3,
Color,Phantasm II ,1988,6.5,7282851
Color,Phat Girlz ,2006,3,7059537
Color,Phenomenon ,1996,6.4,104632573
Color,Philadelphia ,1993,7.7,77324422
Color,Philomena ,2013,7.6,37707719
Color,Phone Booth ,2002,7.1,46563158
Black and White,Pi ,1998,7.5,3216970
Color,Pieces of April ,2003,7.1,2360184
Color,Pierrot le Fou ,1965,7.7,
Color,Pineapple Express ,2008,7,87341380
Color,Pink Flamingos ,1972,6.1,180483
Color,Pink Narcissus ,1971,6.7,8231
Color,"Pink Ribbons, Inc. ",2011,7.4,24784
Color,Pinocchio ,1940,7.5,84300000
Color,Piranha 3D ,2010,5.5,25003072
Color,Pirate Radio ,2009,7.4,7994115
Color,Pirates of the Caribbean: At World's End ,2007,7.1,309404152
Color,Pirates of the Caribbean: Dead Man's Chest ,2006,7.3,423032628
Color,Pirates of the Caribbean: On Stranger Tides ,2011,6.7,241063875
Color,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,8.1,305388685
Color,Pitch Black ,2000,7.1,39235088
Color,Pitch Perfect 2 ,2015,6.5,183436380
Color,Pitch Perfect ,2012,7.2,64998368
Color,Pixels ,2015,5.6,78747585
Color,Planet 51 ,2009,6.1,42194060
Color,Planet of the Apes ,2001,5.7,360023480
Color,Plastic ,2014,6,
Color,Platoon ,1986,8.1,137963328
Color,Play It to the Bone ,1999,5.4,8427204
Color,Playing for Keeps ,2012,5.7,13101142
Color,Please Give ,2010,6.6,4033268
Color,Plush ,2013,5.4,2843
Color,Pocahontas ,1995,6.6,141600000
Color,Pocketful of Miracles ,1961,7.3,
Color,Poetic Justice ,1993,5.9,27515786
Color,Point Blank ,1967,7.4,
Color,Point Break ,2015,5.3,57544444
Color,Pokémon 3: The Movie ,2000,5.6,
Color,Police Academy ,1984,6.7,81200000
Color,Police Academy: Mission to Moscow ,1994,3.3,126247
Color,Polisse ,2011,7.3,171320
Color,Pollock ,2000,7,8596914
Color,Poltergeist III ,1988,4.5,14114488
Color,Poltergeist ,1982,7.4,153200000
Color,Pompeii ,2014,5.6,23219748
Color,Pontypool ,2008,6.7,3478
Color,Ponyo ,2008,7.7,15081783
Color,Pooh's Heffalump Movie ,2005,6.4,18081626
Color,Poolhall Junkies ,2002,7,562059
Color,Pootie Tang ,2001,5.2,3293258
Color,Porky's ,1981,6.2,105500000
Color,Poseidon ,2006,5.6,60655503
Color,Post Grad ,2009,5.3,6373693
Color,Poultrygeist: Night of the Chicken Dead ,2006,6.2,23000
Color,Pound of Flesh ,2015,5.1,
Color,Practical Magic ,1998,6.1,46611204
Color,Precious ,2009,7.3,95073918
Color,Predator 2 ,1990,6.2,30669413
Color,Predator ,1987,7.8,59735548
Color,Predators ,2010,6.4,52000688
Color,Prefontaine ,1997,6.8,532190
Color,Premium Rush ,2012,6.5,20275446
Color,Premonition ,2007,5.9,47852604
Color,Pretty Woman ,1990,6.9,178406268
Color,Pride & Prejudice ,2005,7.8,38372662
Color,Pride and Glory ,2008,6.7,15709385
Color,Pride and Prejudice and Zombies ,2016,5.8,10907291
Color,Priest ,2011,5.7,29136626
Color,Primary Colors ,1998,6.7,38966057
Color,Primer ,2004,7,424760
Color,Prince of Persia: The Sands of Time ,2010,6.6,90755643
Color,Princess Kaiulani ,2009,6.2,883887
Color,Princess Mononoke ,1997,8.4,2298191
Color,Prison ,1987,5.9,354704
Color,Prisoners ,2013,8.1,60962878
Color,Private Benjamin ,1980,6.1,69800000
Color,Project Almanac ,2015,6.4,22331028
Color,Project X ,2012,6.7,54724272
Color,Prom Night ,2008,3.9,43818159
Color,Prom ,2011,5.4,10106233
Color,Prometheus ,2012,7,126464904
Color,Promised Land ,2012,6.6,7556708
Color,Proof of Life ,2000,6.2,32598931
Color,Prophecy ,1979,5.4,
Color,Proud ,2004,5.8,
Color,Psycho Beach Party ,2000,6.3,265107
Black and White,Psycho ,1960,8.5,32000000
Color,Public Enemies ,2009,7,97030725
Color,Pulp Fiction ,1994,8.9,107930000
Color,Pulse ,2006,4.7,20259297
Color,Punch-Drunk Love ,2002,7.3,17791031
Color,Punisher: War Zone ,2008,6,7948159
Color,Purple Violets ,2007,6.6,
Color,Pushing Tin ,1999,6,8406264
Color,Puss in Boots ,2011,6.7,149234747
Color,Q ,2011,5.6,
Color,Quantum of Solace ,2008,6.7,168368427
Color,Quarantine ,2008,6,31691811
Color,Quartet ,2012,6.8,18381787
Color,Queen Crab ,2015,4.5,
Color,Queen of the Damned ,2002,5.2,30307804
Color,Queen of the Mountains ,2014,8.7,
Color,Quest for Fire ,1981,7.4,
Color,Quigley Down Under ,1990,6.8,21413105
Color,Quills ,2000,7.4,7060876
Color,Quinceañera ,2006,7.1,1689999
Color,Quo Vadis ,1951,7.2,
Color,R.I.P.D. ,2013,5.6,33592415
Color,R.L. Stine's Monsterville: The Cabinet of Souls ,2015,5.9,
Color,R100 ,2013,6.1,22770
Color,Rabbit Hole ,2010,7,2221809
Color,Rabbit-Proof Fence ,2002,7.5,6165429
Color,Race to Witch Mountain ,2009,5.7,67128202
Color,Race ,2016,7.1,19097994
Color,Rachel Getting Married ,2008,6.7,12796277
Color,Racing Stripes ,2005,5.2,49186871
Color,Radio Days ,1987,7.6,14792779
Color,Radio Flyer ,1992,6.9,4651977
Color,Radio ,2003,6.9,52277485
Black and White,Raging Bull ,1980,8.3,45250
Color,Raiders of the Lost Ark ,1981,8.5,242374454
Color,Rain Man ,1988,8,172825435
Color,Raise the Titanic ,1980,4.7,7000000
Color,Raise Your Voice ,2004,5.9,10411980
Color,Raising Cain ,1992,6,21370057
Color,Raising Helen ,2004,6,37486138
Color,Raising Victor Vargas ,2002,7.2,2073984
Color,Ramanujan ,2014,7,
Color,Rambo III ,1988,5.7,53715611
Color,Rambo: First Blood Part II ,1985,6.4,150415432
Color,Ramona and Beezus ,2010,6.7,26161406
Color,Rampage ,2009,6.3,
Color,Random Hearts ,1999,5.1,31054924
Color,Rang De Basanti ,2006,8.4,2197331
Color,Rango ,2011,7.2,123207194
Color,Ransom ,1996,6.6,136448821
Color,Rapa Nui ,1994,6.4,305070
Color,Rat Race ,2001,6.4,56607223
Color,Ratatouille ,2007,8,206435493
Color,Ravenous ,1999,7.1,2060953
Color,Ray ,2004,7.7,75305995
Color,Raymond Did It ,2011,3.2,
Color,Ready to Rumble ,2000,5.3,12372410
Color,Real Steel ,2011,7.1,85463309
Color,Real Women Have Curves ,2002,7,5844929
Black and White,Rebecca ,1940,8.2,
Color,Recess: School's Out ,2001,6.5,36696761
Color,RED 2 ,2013,6.7,53215979
Color,Red Cliff ,2008,7.4,626809
Color,Red Dawn ,1984,6.4,
Color,Red Dog ,2011,7.5,
Color,Red Dragon ,2002,7.2,92930005
Color,Red Eye ,2005,6.5,57859105
Color,Red Lights ,2012,6.2,
Color,Red Planet ,2000,5.7,17473245
Color,Red Riding Hood ,2011,5.4,37652565
Color,Red Riding: In the Year of Our Lord 1974 ,2009,7.1,
Black and White,Red River ,1948,7.8,
Color,Red Sonja ,1985,5,
Color,Red State ,2011,6.2,
Color,Red Tails ,2012,5.9,49875589
Color,RED ,2010,7.1,90356857
Color,Redacted ,2007,6.2,65087
Color,Redbelt ,2008,6.8,2344847
Color,Redemption Road ,2010,5.9,27012
Color,Reds ,1981,7.5,
Color,Regression ,2015,5.7,54734
Color,Reign of Assassins ,2010,6.9,
Color,Reign of Fire ,2002,6.2,43060566
Color,Reign Over Me ,2007,7.5,19661987
Color,Reindeer Games ,2000,5.7,23360779
Color,Re-Kill ,2015,5.1,
Color,Religulous ,2008,7.7,12995673
Color,Remember Me ,2010,7.2,19057024
Color,"Remember Me, My Love ",2003,6.5,223878
Color,Remember the Titans ,2000,7.8,115648585
Color,Renaissance Man ,1994,6.1,24332324
Color,Renaissance ,2006,6.7,63260
Color,Rendition ,2007,6.8,9664316
Color,Reno 911!: Miami ,2007,5.9,20339754
Color,Rent ,2005,7,29077547
Color,Repo Man ,1984,6.9,
Color,Repo Men ,2010,6.3,13763130
Color,Repo! The Genetic Opera ,2008,6.7,140244
Color,Requiem for a Dream ,2000,8.4,3609278
Color,Rescue Dawn ,2006,7.3,5484375
Color,Reservoir Dogs ,1992,8.4,2812029
Color,Resident Evil ,2002,6.7,39532308
Color,Resident Evil: Afterlife ,2010,5.9,60128566
Color,Resident Evil: Apocalypse ,2004,6.2,50740078
Color,Resident Evil: Extinction ,2007,6.3,50648679
Color,Resident Evil: Retribution ,2012,5.4,42345531
Color,Restless ,2012,7.2,
Color,Restoration ,2016,4,
Color,Resurrecting the Champ ,2007,6.8,3169424
Color,Return of the Living Dead III ,1993,5.9,
Color,Return to Me ,2000,6.9,32662299
Color,Return to Never Land ,2002,5.8,48423368
Color,Return to Oz ,1985,6.7,
Color,Return to the Blue Lagoon ,1991,5.1,2807854
Color,Revolutionary Road ,2008,7.3,22877808
Color,Ri¢hie Ri¢h ,1994,5.2,38087756
Color,Richard III ,1995,7.5,2600000
Color,Riddick ,2013,6.4,41997790
Color,Ride Along 2 ,2016,5.9,90835030
Color,Ride Along ,2014,6.2,134141530
Color,Ride with the Devil ,1999,6.8,630779
Color,Riding Giants ,2004,7.9,2276368
Color,Riding in Cars with Boys ,2001,6.4,29781453
Color,Righteous Kill ,2008,6,40076438
Color,Rio 2 ,2014,6.4,131536019
Color,Rio ,2011,7,143618384
Color,Ripley's Game ,2002,6.7,
Color,Rise of the Entrepreneur: The Search for a Better Way ,2014,8.2,
Color,Rise of the Guardians ,2012,7.3,103400692
Color,Rise of the Planet of the Apes ,2011,7.6,176740650
Color,Risen ,2016,6.3,36874745
Black and White,River's Edge ,1986,7.1,4600000
Color,Rize ,2005,7.1,3278611
Color,Road Hard ,2015,6.1,105943
Color,Road House ,1989,6.5,30050028
Color,Road to Perdition ,2002,7.7,104054514
Color,Road Trip ,2000,6.5,68525609
Color,Roadside Romeo ,2008,5.3,55202
Color,Roadside ,2013,4.1,
Color,Roar ,1981,6.4,2000000
Color,Rob Roy ,1995,6.9,31600000
Color,Robin and Marian ,1976,6.6,
Color,Robin Hood ,2010,6.7,105219735
Color,Robin Hood: Prince of Thieves ,1991,6.9,165500000
Color,RoboCop 3 ,1993,3.9,10696210
Color,RoboCop ,2014,6.2,117214014
Color,Robot & Frank ,2012,7.1,3325638
Color,Robots ,2005,6.3,128200012
Color,Rock of Ages ,2012,5.9,38509342
Color,Rock Star ,2001,6.2,16991902
Color,Rockaway ,2007,4.6,
Color,Rocket Singh: Salesman of the Year ,2009,7.5,
Color,RocknRolla ,2008,7.3,5694401
Color,Rocky Balboa ,2006,7.2,70269171
Color,Rocky ,1976,8.1,117235247
Color,Rodeo Girl ,2016,5.7,
Color,Roger & Me ,1989,7.5,6706368
Color,Role Models ,2008,6.9,67266300
Color,Roll Bounce ,2005,6,17378977
Color,Rollerball ,2002,3,18990542
Color,Romance & Cigarettes ,2005,6.3,540085
Color,Romantic Schemer ,2015,5.1,
Color,Romeo + Juliet ,1996,6.8,46338728
Color,Romeo Is Bleeding ,1993,6.6,3275585
Color,Romeo Must Die ,2000,6.1,55973336
Color,Ronin ,1998,7.3,41609593
Color,Room ,2015,8.3,14677654
Color,Rosemary's Baby ,1968,8,
Color,Rosewater ,2014,6.6,3093491
Color,Rotor DR1 ,2015,3.4,
Color,Rounders ,1998,7.4,22905674
Color,Royal Kill ,2009,3.2,
Color,Rubber ,2010,5.8,98017
Color,Ruby in Paradise ,1993,7.2,1001437
Color,Rudderless ,2014,7.5,37440
Color,Rugrats Go Wild ,2003,5.6,39399750
Color,Rugrats in Paris: The Movie ,2000,6.1,76501438
Color,Rumble in the Bronx ,1995,6.7,32333860
Color,Run All Night ,2015,6.6,26442251
Black and White,Run Lola Run ,1998,7.8,7267324
Color,"Run, Fatboy, Run ",2007,6.6,5998971
Color,"Run, Hide, Die ",2012,3.7,
Color,Runaway Bride ,1999,5.5,152149590
Color,Runner Runner ,2013,5.6,19316646
Color,Running Forever ,2015,8.6,
Color,Running Scared ,2006,7.4,6855137
Color,Running with Scissors ,2006,6.2,6754898
Color,Rush Hour 2 ,2001,6.6,226138454
Color,Rush Hour 3 ,2007,6.2,140080850
Color,Rush ,2013,8.1,26903709
Color,Rushmore ,1998,7.7,17096053
Color,Rust ,2010,5.7,
Color,S.W.A.T. ,2003,6,116643346
Color,Sabotage ,2014,5.7,20999936
Color,Safe Haven ,2013,6.7,71346930
Color,Safe House ,2012,6.8,126149655
Color,Safe Men ,1998,6.1,21210
Color,Safe ,2012,6.5,17120019
Color,Safety Not Guaranteed ,2012,7,4007792
Color,Sahara ,2005,6,68642452
Color,Saint John of Las Vegas ,2009,5.8,100669
Color,Saint Ralph ,2004,7.6,795126
Color,Saints and Soldiers ,2003,6.8,1310270
Color,Salt ,2010,6.4,118311368
Color,Salvador ,1986,7.5,
Color,Salvation Boulevard ,2011,5.3,27445
Color,Samsara ,2011,8.5,2601847
Color,San Andreas ,2015,6.1,155181732
Color,Sanctuary; Quite a Conundrum ,2012,5.4,
Color,Sanctum ,2011,5.9,23070045
Black and White,Sands of Iwo Jima ,1949,7.2,
Color,Sarah's Key ,2010,7.5,7691700
Color,Sardaar Ji ,2015,6.6,
Color,Sausage Party ,2016,7.5,
Color,Savage Grace ,2007,5.9,434417
Black and White,Savages ,2012,6.5,47307550
Color,Save the Last Dance ,2001,6.1,91038276
Color,Saved! ,2004,6.9,8786715
Color,Saving Face ,2004,7.6,1186323
Color,Saving Mr. Banks ,2013,7.5,83299761
Color,Saving Private Perez ,2011,6,1391770
Color,Saving Private Ryan ,1998,8.6,216119491
Color,Saving Silverman ,2001,5.9,19351569
Color,Saw 3D: The Final Chapter ,2010,5.6,45670855
Color,Saw II ,2005,6.6,87025093
Color,Saw III ,2006,6.2,80150343
Color,Saw IV ,2007,5.9,63270259
Color,Saw V ,2008,5.8,56729973
Color,Saw VI ,2009,6,27669413
Color,Saw ,2004,7.7,55153403
Color,Say It Isn't So ,2001,4.9,5516708
Color,Scarface ,1983,8.3,44700000
Color,Scary Movie 2 ,2001,5.2,71277420
Color,Scary Movie 3 ,2003,5.5,110000082
Color,Scary Movie 4 ,2006,5.1,90703745
Color,Scary Movie 5 ,2013,3.5,32014289
Black and White,Schindler's List ,1993,8.9,96067179
Color,School Daze ,1988,5.8,14545844
Color,School for Scoundrels ,2006,5.9,17803796
Color,School of Rock ,2003,7.1,81257845
Color,Scooby-Doo 2: Monsters Unleashed ,2004,4.9,84185387
Color,Scooby-Doo ,2002,4.9,153288182
Color,Scoop ,2006,6.7,10515579
Color,Scott Pilgrim vs. the World ,2010,7.5,31494270
Color,Scott Walker: 30 Century Man ,2006,7.3,
Color,Scream 2 ,1997,6.1,101334374
Color,Scream 3 ,2000,5.5,89138076
Color,Scream 4 ,2011,6.2,38176892
Color,Scream ,1996,7.2,103001286
Color,Screwed ,2000,5.7,6982680
Color,Scrooged ,1988,7,60328558
Color,Se7en ,1995,8.6,100125340
Color,Sea of Love ,1989,6.8,58571513
Color,Sea Rex 3D: Journey to a Prehistoric World ,2010,6.9,4074023
Black and White,Seabiscuit ,2003,7.3,120147445
Color,Secondhand Lions ,2003,7.6,41407470
Color,Secret in Their Eyes ,2015,6.2,
Color,Secret Window ,2004,6.6,47781388
Color,Secretariat ,2010,7.2,59699513
Color,Secretary ,2002,7.1,4046737
Color,See Spot Run ,2001,5.4,33357476
Color,Seed of Chucky ,2004,4.9,17016190
Black and White,Seeking a Friend for the End of the World ,2012,6.7,6619173
Color,Selena ,1997,6.7,35422828
Color,Self/less ,2015,6.5,12276810
Color,Selma ,2014,7.5,52066000
Color,Semi-Pro ,2008,5.8,33472850
Color,Sense and Sensibility ,1995,7.7,42700000
Color,September Dawn ,2007,5.8,1066555
Color,Serendipity ,2001,6.9,49968653
Color,Serenity ,2005,8,25335935
Color,Serial Mom ,1994,6.7,7881335
Color,Serving Sara ,2002,5.3,16930185
Color,Session 9 ,2001,6.5,373967
Color,Set It Off ,1996,6.8,36049108
Color,Seven Pounds ,2008,7.7,69951824
Color,Seven Psychopaths ,2012,7.2,14989761
Black and White,Seven Samurai ,1954,8.7,269061
Color,Seven Years in Tibet ,1997,7,37901509
Color,Seventh Son ,2014,5.5,17176900
Color,Severance ,2006,6.6,136432
Color,Sex and the City 2 ,2010,4.3,95328937
Color,Sex Drive ,2008,6.5,8396942
Color,Sex Tape ,2014,5.1,38543473
Color,Sex with Strangers ,2002,4.7,247740
Color,"Sex, Lies, and Videotape ",1989,7.2,24741700
Color,Sexy Beast ,2000,7.3,6940281
Color,Sgt. Bilko ,1996,5.7,30400000
Color,Shade ,2003,6.4,10696
Color,Shadow Conspiracy ,1997,4.9,2154540
Black and White,Shadow of the Vampire ,2000,6.9,8279017
