Title,Facenumber,Score,Cast_Likes,Gross
The Texas Chainsaw Massacre: The Beginning ,0,5.9,26402,39511038
Before I Go to Sleep ,1,6.3,14617,2963012
The Firm ,0,6.8,14244,158348400
Set It Off ,4,6.8,3661,36049108
Blade Runner ,2,8.2,13877,27000000
The Texas Chainsaw Massacre 2 ,3,5.5,302,8025872
The Texas Chain Saw Massacre ,0,7.5,2188,61718000
Home on the Range ,0,5.4,13607,50026353
The Terminal ,0,7.3,16199,77032279
The Exorcist ,0,8,2466,204565000
The Master of Disguise ,2,3.3,3058,40363530
The Ten ,4,5,4883,766487
The Shipping News ,3,6.8,19805,11405825
Never Back Down ,1,6.6,4089,24848292
Batman Returns ,0,7,2899,162831698
Equilibrium ,2,7.5,25088,1190018
The Tempest ,2,5.4,3785,263365
Red Eye ,0,6.5,1090,57859105
The Best of Me ,0,6.7,3197,26761283
Glory ,3,7.9,65860,53660000
The Talented Mr. Ripley ,1,7.3,36810,81292135
District B13 ,2,7.2,962,1197786
The Taking of Pelham 1 2 3 ,1,6.4,19906,65452312
The Sweeney ,4,6.1,4810,26345
The Bodyguard ,0,6.1,2551,121945720
The Straight Story ,0,8,1351,6197866
Renaissance Man ,1,6.1,3126,24332324
The Descent ,0,7.2,1379,26005908
The Hobbit: The Desolation of Smaug ,6,7.9,9152,258355354
The Equalizer ,0,7.2,37605,101530738
The Story of Us ,1,5.9,14706,27067160
Teacher's Pet ,0,5.8,5139,6491350
Dil Jo Bhi Kahey... ,4,5.1,622,129319
The Sticky Fingers of Time ,0,6.3,154,18195
The Greatest Story Ever Told ,6,6.6,1934,8000000
My Fair Lady ,1,7.9,1164,72000000
The Stepfather ,0,5.6,3292,29062561
The Forbidden Kingdom ,0,6.6,7247,25040293
The Lady from Shanghai ,1,7.7,1055,7927
Special ,0,6.9,2694,6387
The SpongeBob SquarePants Movie ,0,7,20097,85416609
The SpongeBob Movie: Sponge Out of Water ,0,6,5217,162495848
Gangster Squad ,3,6.7,34738,45996718
The Golden Compass ,2,6.1,24106,70083519
The Right Stuff ,0,7.9,6341,21500000
The Specials ,0,6,3905,12996
The Piano ,1,7.6,1051,40158000
The Specialist ,2,5.4,13331,57362581
Living Out Loud ,1,6.6,3250,12902790
Never Again ,1,6,24382,295468
The Sound of Music ,3,8,1495,163214286
The Son of No One ,5,5.1,32814,28870
Barney's Great Adventure ,0,2.8,1139,11144518
Life of Pi ,0,8,2121,124976634
Renaissance ,0,6.7,1185,63260
The Flower of Evil ,5,6.6,282,181798
Good Bye Lenin! ,2,7.7,200,4063859
The Soloist ,0,6.7,23745,31670931
The Devil Wears Prada ,0,6.8,23923,124732962
The Skeleton Key ,0,6.5,1274,47806295
The Sixth Sense ,0,8.1,17540,293501675
Mr. Turner ,0,6.8,390,3958500
The Adventures of Tintin ,1,7.4,4631,77564037
Mindhunters ,0,6.4,4186,4476235
The Sisterhood of the Traveling Pants 2 ,4,6.2,3525,44087387
Femme Fatale ,1,6.3,1005,6592103
The Sisterhood of the Traveling Pants ,0,6.6,6862,39008741
The Mist ,0,7.2,5371,25592632
The Bubble ,0,7.3,137,155972
Die Hard with a Vengeance ,1,7.6,14274,100012500
The Singles Ward ,0,6.4,161,1250798
Stranger Than Fiction ,1,7.6,8362,40137776
Elizabeth: The Golden Age ,1,6.9,16899,16264475
Jack and Jill ,2,3.4,27405,74158157
The Singing Detective ,2,5.6,41645,336456
The Siege ,0,6.3,32563,40932372
Everybody's Fine ,1,7.2,23409,8855646
Lions for Lambs ,3,6.2,32875,14998070
The Shallows ,0,6.8,971,54257433
Snow Falling on Cedars ,1,6.8,2393,14378353
Ondine ,2,6.8,1554,548934
Rio 2 ,0,6.4,1031,131536019
A Simple Wish ,3,5.4,5535,8119205
Escape Plan ,1,6.7,15708,25121291
Kung Fu Panda 3 ,0,7.2,36095,143523463
The Interview ,4,6.6,12239,6105175
The Puffy Chair ,0,6.6,1064,192467
Barney's Version ,2,7.3,1873,7501404
The Secret Life of Walter Mitty ,1,7.3,5095,58229120
The Pacifier ,0,5.5,16884,113006880
The Good Night ,1,5.9,1245,20380
The Secret Life of Pets ,0,6.8,4782,323505540
Stone Cold ,1,5.9,583,9286314
The Secret Life of Bees ,5,7.3,3376,37766350
The Secret in Their Eyes ,0,8.2,1044,20167424
Soul Men ,2,6.5,4103,12081447
Owning Mahowny ,1,7.2,23513,1011054
Albino Alligator ,3,6.1,13718,326308
The Lazarus Effect ,0,5.2,11771,25799043
A Room with a View ,0,7.4,1665,20966644
The Second Mother ,1,7.9,76,375723
Super Troopers ,0,7.1,2893,18488314
The Sea Inside ,1,8.1,529,2086345
The Girl on the Train ,1,6,1375,2874
The Score ,0,6.8,32871,71069884
The Scorch Trials ,0,6.4,2517,81687587
Scream ,0,7.2,1212,103001286
The Santa Clause ,0,6.4,2790,144833357
The Salon ,7,4.3,3138,92362
The Saint ,0,6.2,475,61355436
Little Miss Sunshine ,1,7.9,7227,59889948
Now You See Me ,6,7.3,13312,117698894
The Rundown ,1,6.7,16930,47592825
God's Not Dead 2 ,11,3.4,1810,20773070
Law Abiding Citizen ,0,7.4,22517,73343413
The Good Heart ,2,6.9,298,19959
The Runaways ,2,6.6,21711,3571735
Quigley Down Under ,1,6.8,45841,21413105
A.I. Artificial Intelligence ,0,7.1,6217,78616689
The Rules of Attraction ,2,6.7,19928,6525762
Earth ,0,7.8,371,528972
Patriot Games ,1,6.9,12757,83287363
Chéri ,1,6.2,365,2708188
Eyes Wide Shut ,1,7.3,11424,55637680
Harvard Man ,3,4.9,6776,56007
The Ruins ,0,5.9,1749,17427926
Star Trek III: The Search for Spock ,1,6.6,14762,76400000
Bowling for Columbine ,2,8,1779,21244913
Rabbit Hole ,0,7,1582,2221809
Absolute Power ,0,6.7,19139,50007168
The Gatekeepers ,3,7.6,0,2408553
Hancock ,0,6.4,21584,227946274
Invaders from Mars ,0,5.5,1661,4884663
The Rose ,0,6.9,1097,29200000
Red Cliff ,4,7.4,2172,626809
Teeth ,1,5.4,1511,347578
Dogtooth ,0,7.3,126,110197
Jurassic Park ,0,8.1,2129,356784000
The Rookie ,0,7,6657,75597042
The History Boys ,0,6.9,5977,2706659
Slow Burn ,0,5.9,4329,1181197
The Rocker ,4,6.2,33153,6409206
Soul Survivors ,4,3.9,417,3100650
Made in Dagenham ,6,7.2,7692,1094798
The Princess Bride ,0,8.1,20060,30857814
Post Grad ,1,5.3,25637,6373693
2001: A Space Odyssey ,0,8.3,727,56715371
The Man with the Golden Gun ,3,6.8,17611,21000000
The Rock ,1,7.4,15999,134006721
The Corruptor ,2,6,571,15156200
The Road to El Dorado ,1,6.9,3372,50802661
Alpha and Omega ,0,5.3,2486,25077977
In the Land of Blood and Honey ,0,4.3,796,301305
The Replacements ,1,6.5,24024,44737059
The Color Purple ,0,7.8,2592,94175854
The Raven ,1,6.4,2356,16005978
Dead Man Walking ,0,7.6,903,39025000
The Road ,2,7.3,23566,56692
The Duchess ,3,6.9,6420,13823741
The River Wild ,1,6.3,12161,46815748
A Nightmare on Elm Street 2: Freddy's Revenge ,0,5.4,1472,30000000
The Long Kiss Goodnight ,2,6.7,1531,33328051
The Ring Two ,0,5.4,10163,75888270
Monster ,2,7.3,11736,34468224
The Children of Huang Shi ,4,7.1,1003,1027749
The Revenant ,0,8.1,57108,183635922
Bridesmaids ,6,6.8,3229,169076745
The Best Little Whorehouse in Texas ,2,5.8,3688,69700000
The Relic ,0,5.7,1976,33927476
Soul Kitchen ,3,7.3,1519,274385
The Peacemaker ,2,5.9,1289,41256277
Good Luck Chuck ,1,5.6,2822,35000629
The Real Cancun ,1,2.7,972,3713002
The Rainmaker ,1,7.1,16762,45856732
The Lawnmower Man ,0,5.4,1109,32101000
The Legend of God's Gun ,0,4.1,72,243768
The R.M. ,0,6,155,1111615
Me Before You ,0,7.6,21852,56154094
The Quiet American ,2,7.1,3431,12987647
Freakonomics ,0,6.4,2305,100675
Jingle All the Way ,1,5.4,4530,60573641
The Quiet ,0,6.4,3299,381186
The Crew ,4,5.6,1509,13019253
The Quick and the Dead ,0,6.4,29743,18636537
Chloe ,2,6.3,14372,3074838
The Pursuit of Happyness ,0,8,11036,162586036
Coriolanus ,0,6.2,18652,756452
Die Another Day ,0,6.1,2538,160201106
The Purge: Election Year ,1,6.1,2480,78845130
November ,1,5.5,1008,191309
Everything Must Go ,1,6.4,10517,2711210
Major Dundee ,2,6.8,2888,14873
The Purge: Anarchy ,0,6.5,6807,71519230
The Punisher ,1,6.5,2114,33682273
Madea's Witness Protection ,5,4.8,2753,65623128
The Protector ,0,7.1,2205,11905519
The Proposition ,1,7.4,2129,1900725
The Proposal ,1,6.7,18656,163947053
Civil Brand ,3,5.3,2555,243347
The Hunt ,1,8.3,216,610968
Rat Race ,8,6.4,1823,56607223
Le Havre ,1,7.2,391,611709
The Prophecy ,0,6.6,13433,16115878
Ted ,1,7,21773,218628680
Darling Lili ,2,6.2,788,5000000
The Promise ,0,5.6,949,668171
Teenage Mutant Ninja Turtles ,0,5.9,5380,381742480
The Princess Diaries ,2,6.2,13645,108244774
Soul Food ,6,6.9,4737,43490057
The Princess and the Frog ,0,7.1,2480,104374107
The Hateful Eight ,1,7.9,49912,54116191
Raise the Titanic ,0,4.7,1883,7000000
The Prince of Tides ,1,6.6,1936,74787599
The Prince of Egypt ,2,7,1195,101217900
The Prestige ,1,8.5,63986,53082743
The Ladykillers ,1,6.2,41701,39692139
Tank Girl ,0,5.2,9662,4064333
The Loss of Sexual Innocence ,0,5.4,4343,399793
Nightcrawler ,1,7.9,15554,32279955
The Pledge ,0,6.8,793,19719930
High School Musical 3: Senior Year ,1,4.5,3507,90556401
The Perfect Match ,6,4.5,3552,9658370
The Players Club ,9,5.6,2868,23031390
The Majestic ,1,6.9,4310,27796042
The Place Beyond the Pines ,3,7.3,34413,21383298
For Love of the Game ,0,6.5,25469,35168395
The Express ,0,7.3,5162,9589875
A Thin Line Between Love and Hate ,2,5.6,3023,34746109
I Married a Strange Person! ,0,7,7,203134
The Pirates! Band of Misfits ,0,6.7,6254,31051126
The Phantom of the Opera ,0,7.4,20660,51225796
Steve Jobs ,0,7.2,28933,17750583
Mystic Pizza ,4,6.2,10430,12793213
Magic Mike ,1,6.1,46646,113709992
Sweet November ,1,6.7,29484,25178165
The Cabin in the Woods ,0,7,29551,42043633
The Phantom ,0,4.9,3855,17300889
"The Good, the Bad, the Weird ",0,7.3,569,128486
The Perks of Being a Wallflower ,2,8,13631,17738570
New in Town ,1,5.6,25792,16699684
Lilya 4-Ever ,1,7.9,131,181655
The Perfect Storm ,0,6.4,2684,182618434
Original Sin ,1,6,11662,16252765
The Amazing Spider-Man ,0,7,28489,262030663
The Perfect Man ,3,5.5,4789,16247775
The Perfect Game ,0,7,4270,1089445
The Perez Family ,2,6.2,3072,2832826
Multiplicity ,0,6,2348,20101861
The Pelican Brief ,0,6.5,30063,100768056
No Strings Attached ,1,6.2,22739,70625986
The Missing Person ,3,6.2,2749,17580
The Peanuts Movie ,0,7.2,309,130174897
Margin Call ,8,7.1,22834,5354039
The Oxford Murders ,4,6.1,940,3607
Jaws: The Revenge ,0,2.8,2355,20763013
The Outsiders ,0,7.2,12097,25600000
The Other Woman ,2,6,2357,83906114
Slow West ,2,6.9,14696,229094
Bridget Jones's Diary ,3,6.7,16999,71500556
"Paris, je t'aime ",0,7.3,13208,4857376
The Last Days on Mars ,0,5.5,2271,23838
The Other Side of Heaven ,2,6.5,11116,4720371
The Other End of the Line ,2,6.2,1739,115504
Perfume: The Story of a Murderer ,0,7.5,253,2208939
Analyze That ,1,5.9,22889,32122249
Die Hard ,0,8.2,40585,81350242
The Other Dream Team ,1,8.4,44,133778
The Best Years of Our Lives ,5,8.1,1941,23650000
The Original Kings of Comedy ,0,6.6,1964,38168022
Pulp Fiction ,1,8.9,16557,107930000
Rendition ,2,6.8,50950,9664316
The Open Road ,2,5.5,16118,19348
On Her Majesty's Secret Service ,2,6.8,1769,22800000
The Fog ,0,6.8,9755,42756000
The Curse of the Jade Scorpion ,0,6.8,12534,7496522
The Odd Life of Timothy Green ,0,6.6,9069,51853450
The Nutty Professor ,1,5.6,3155,128769345
Certifiably Jonathan ,10,6.2,54484,7826
The Nutcracker ,0,5.7,2,2119994
Amadeus ,0,8.3,3076,51600000
Arbitrage ,1,6.6,2440,7918283
The Greatest Movie Ever Sold ,1,6.6,32405,638476
The Nut Job ,0,5.8,18795,64238770
The Five-Year Engagement ,2,6.2,3479,28644770
The November Man ,2,6.3,3033,24984868
The Lego Movie ,0,7.8,22128,257756197
King's Ransom ,7,4.1,4990,4006906
Peaceful Warrior ,1,7.3,2673,1055654
The Notebook ,0,7.9,34495,64286
Jonah Hex ,1,4.7,14619,10539414
The Night Listener ,0,5.9,50831,7825820
Newlyweds ,1,6.4,690,4584
The Grudge ,0,5.9,7461,110175871
Over the Hedge ,1,6.8,22813,155019340
Run Lola Run ,1,7.8,623,7267324
The Dark Knight Rises ,0,8.5,106759,448130642
Practical Magic ,1,6.1,4294,46611204
The Next Best Thing ,1,4.7,2498,14983572
The Newton Boys ,4,6,11969,10297897
Stake Land ,1,6.5,1038,18469
Entrapment ,1,6.2,1302,87704396
The Angry Birds Movie ,0,6.3,24350,107225164
Straight Outta Compton ,0,7.9,2702,161029270
Closer ,2,7.3,28027,33987757
Monte Carlo ,3,5.8,4257,23179303
The New Guy ,1,5.9,12687,28972187
The Net ,0,5.8,1725,50728000
Seven Samurai ,6,8.7,338,269061
The Negotiator ,2,7.3,20152,44484065
The Jacket ,0,7.1,5085,6301131
Albert Nobbs ,3,6.7,4370,3014541
Dante's Peak ,1,5.8,1569,67155742
Martian Child ,0,6.8,2495,7486906
The Namesake ,1,7.6,1637,13569248
The Names of Love ,1,7.2,143,513836
The Darkest Hour ,0,4.9,843,21426805
Black Book ,1,7.8,2590,4398392
Infamous ,4,7.1,3474,1150403
The Musketeer ,0,4.7,2888,27053815
The Fan ,3,5.8,24618,18573791
The Muse ,2,5.6,15209,11614236
Joe Dirt ,0,5.9,2543,27087695
The Muppet Movie ,0,7.7,5673,76657000
Roadside Romeo ,0,5.3,653,55202
The Muppet Christmas Carol ,0,7.7,534,27281507
Dinner for Schmucks ,2,5.9,10419,72980108
The Mummy Returns ,5,6.3,15972,202007640
Taxi to the Dark Side ,0,7.7,313,274661
The Man with the Iron Fists ,3,5.4,2377,15608545
How She Move ,0,3.3,760,7070459
Rambo III ,1,5.7,14574,53715611
The Motel ,1,6.8,127,47111
The Last Time I Committed Suicide ,1,5.8,20135,12836
The Mortal Instruments: City of Bones ,3,6,10247,31165421
Elektra ,0,4.8,7048,24407944
The Mirror Has Two Faces ,0,6.5,13716,41252428
Imagine That ,2,5.6,3742,16088610
The Mighty Macs ,2,6.5,2589,1889522
Babe: Pig in the City ,0,5.8,2521,18318000
The Guard ,0,7.3,3569,5359774
Paparazzi ,0,5.8,2915,15712072
The Big Bounce ,5,4.9,11972,6471394
The Mighty ,4,7.3,2283,2643689
Green Zone ,1,6.9,13761,35024475
The Midnight Meat Train ,0,6.1,18639,73548
Serenity ,0,8,2853,25335935
Last Orders ,5,7,7166,2326407
Money Train ,1,5.6,1132,35324232
The Mexican ,0,6.1,43917,66808615
Spaceballs ,2,7.1,2936,38119483
Max Payne ,1,5.4,16249,40687294
The Infiltrator ,1,7.3,2104,14946229
Stand by Me ,2,8.1,644,52287414
The Messenger: The Story of Joan of Arc ,0,6.4,144,14131298
The Merchant of Venice ,3,7.1,16252,3752725
The Karate Kid ,0,7.2,4008,181600000
Stuart Little 2 ,0,5.4,2682,64736114
Annie Get Your Gun ,0,7,731,8000000
Boynton Beach Club ,8,6.5,1231,3123749
I Am Legend ,0,7.2,13076,256386216
The Medallion ,1,5.2,1134,22108977
Apocalypse Now ,1,8.5,25313,78800000
The Maze Runner ,0,6.8,1783,102413606
Rock Star ,0,6.2,1265,16991902
Child's Play 2 ,0,5.7,2646,28501605
The Last of the Mohicans ,1,7.8,2144,72455275
Police Academy: Mission to Moscow ,0,3.3,17469,126247
The Matrix Revolutions ,0,6.7,1062,139259759
The Matrix Reloaded ,0,7.2,534,281492479
The Matrix ,3,8.7,18563,171383253
The Gift ,1,7.1,6430,87542582
The Day the Earth Stood Still ,0,5.5,44388,158727570
The Matador ,0,6.8,4053,12570442
The Holiday ,3,6.9,17423,63224849
State of Play ,3,7.1,19776,36965395
The Last Station ,2,7,1341,6615578
The Master ,31,7.1,427,16377274
Mi America ,0,7.2,214,3330
The Masked Saint ,0,4.7,1043,123777
Movie 43 ,10,4.3,41059,8828771
The Mask of Zorro ,0,6.7,12396,93771072
The Mask ,0,6.9,2085,119938730
The Man in the Iron Mask ,1,6.4,29265,56876365
The Fault in Our Stars ,0,7.8,10565,124868837
The Man from U.N.C.L.E. ,2,7.3,15735,45434443
The Lunchbox ,2,7.8,822,4231500
The Claim ,4,6.5,34208,807864
The Lost City ,0,6.7,1674,2483955
The Full Monty ,3,7.2,4646,91714906
Independence Day: Resurgence ,0,5.5,3233,102315545
That Awkward Moment ,3,6.1,1024,26049082
Because I Said So ,1,5.6,1930,42640890
The Lost Boys ,3,7.2,4458,32222567
Mission: Impossible III ,0,6.9,34817,133382309
The Lords of Salem ,1,5.1,5158,1163508
Before Sunset ,0,8,65,5792822
The Lord of the Rings: The Return of the King ,2,8.9,6434,377019252
Project X ,0,6.7,2043,54724272
The Last Shot ,10,5.7,5240,463730
Silent Hill: Revelation 3D ,0,5,2173,17529157
The Looking Glass ,0,6.6,1440,1711
A View to a Kill ,2,6.3,2943,50300000
Middle of Nowhere ,2,6.5,3021,78030
The Longest Ride ,0,7.1,3386,37432299
Race to Witch Mountain ,3,5.7,14007,67128202
The Lone Ranger ,1,6.5,45757,89289910
Live and Let Die ,3,6.8,1865,35400000
The Lizzie McGuire Movie ,1,5.3,3423,42672630
Joe ,2,6.9,13607,371897
The Living Wake ,2,6.5,1047,12055
Shrek ,1,7.9,275,267652016
How High ,2,6.2,6105,31155435
The Lion King ,0,8.5,6458,422783777
The Lincoln Lawyer ,1,7.3,13943,57981889
"Dude, Where's My Car? ",2,5.5,6454,46729374
The Limey ,0,7.1,1335,3193102
Sholem Aleichem: Laughing in the Darkness ,1,6.8,660,906666
Superbabies: Baby Geniuses 2 ,3,1.9,1343,9109322
Legal Eagles ,3,5.9,2179,49851591
The Life Before Her Eyes ,2,6.4,2073,303439
The Life Aquatic with Steve Zissou ,8,7.3,15757,24006726
Clean ,1,6.9,776,136007
Goldfinger ,2,7.8,1198,51100000
The Libertine ,1,6.4,42484,4829497
Inkheart ,3,6.1,5329,17281832
The Legend of the Lone Ranger ,0,5,927,8000000
The Illusionist ,3,7.6,8420,79651596
Incendies ,0,8.2,343,6857096
The Legend of Tarzan ,2,6.6,42350,248103518
The Last Exorcism ,0,5.6,1958,40990055
The Legend of Bagger Vance ,3,6.7,34774,30695227
The League of Extraordinary Gentlemen ,3,5.8,4714,66462600
The Last Waltz ,0,8.2,2783,321952
The Last Temptation of Christ ,0,7.6,1934,8373585
"Sex, Lies, and Videotape ",2,7.2,1431,24741700
The Last Song ,1,5.8,2341,62933793
Oz the Great and Powerful ,4,6.4,146882,469806152
Hellraiser ,0,7,673,14564027
The Last Sin Eater ,0,5.9,2161,379643
Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,0,7.3,118,144431
The Last Legion ,0,5.4,14625,5932060
The Last King of Scotland ,1,7.7,1184,17605861
The Brass Teapot ,2,6.4,4184,6643
The Last Five Years ,7,5.9,10869,137945
The Hitchhiker's Guide to the Galaxy ,0,6.8,14073,51019112
The Last Emperor ,0,7.8,2451,43984230
Blast from the Past ,0,6.6,5709,26494611
The Last Dragon ,1,6.9,3394,33000000
The Great Debaters ,1,7.6,22745,30226144
A Home at the End of the World ,2,6.8,21107,1029017
Benji ,0,6.1,1090,39552600
The Last Castle ,3,6.9,3012,18208078
Starsky & Hutch ,5,6.1,3943,88200225
30 Days of Night ,0,6.6,814,39568996
The Last Big Thing ,1,6.9,196,22434
The Last Airbender ,0,4.2,2857,131564731
Savages ,4,6.5,1948,47307550
Roar ,0,6.4,1262,2000000
Prison ,0,5.9,11083,354704
Rain Man ,3,8,12285,172825435
One True Thing ,3,7,12785,23209440
The Land Before Time ,0,7.3,1833,48092846
The Ladies Man ,1,5.1,10982,13592872
Divergent ,2,6.7,22226,150832203
Housefull ,5,5.3,1121,1165104
Sinister ,0,6.8,2239,48056940
The Kite Runner ,0,7.6,904,15797907
Moneyball ,1,7.6,53094,75605492
The King's Speech ,0,8,15732,138795342
The Killer Inside Me ,0,6.1,1813,214966
The Kid ,1,6.1,16452,69688384
Surf's Up ,0,6.8,25590,58867694
The Judge ,1,7.4,30183,47105085
Hop ,0,5.5,2558,108012170
The Joneses ,4,6.5,4607,1474508
The Hoax ,0,6.7,1134,7156933
The Conjuring 2 ,0,7.8,2676,102310175
Mud ,1,7.4,13960,21589307
The Jimmy Show ,3,5.4,920,703
My Name Is Bruce ,1,6.3,1238,173066
The Jerky Boys ,0,4.6,1002,7557877
American Beauty ,0,8.4,19078,130058047
"Dancer, Texas Pop. 81 ",0,6.8,2580,565592
The Jackal ,0,6.3,38227,54910560
The Italian Job ,6,7,35084,106126012
The Astronaut's Wife ,0,5.3,105242,21309162
The Island of Dr. Moreau ,2,4.4,10469,27663982
The Island ,1,6.9,69677,71598052
Anna Karenina ,1,6.6,2035,12802907
The Ides of March ,1,7.1,57077,40962534
Kicking & Screaming ,1,5.6,27351,52580895
The Iron Lady ,1,6.4,12894,29959436
The Interpreter ,1,6.4,2100,72515360
The Internship ,2,6.3,5081,44665963
"Pink Ribbons, Inc. ",0,7.4,0,24784
Ghosts of Mars ,5,4.9,28867,8434601
The Inkwell ,0,6.5,3293,8880705
Milk ,1,7.6,13189,31838002
Stolen ,1,5.5,14978,183125
Sense and Sensibility ,2,7.7,41059,42700000
The Indian in the Cupboard ,1,5.9,2965,35617599
The Incredibles ,0,8,1901,261437578
Nowhere in Africa ,0,7.7,105,6173485
Snow Dogs ,1,5.1,2916,81150692
Friends with Money ,2,5.9,1140,13367101
Megaforce ,2,3.5,1356,5333658
The In Crowd ,4,4.6,2312,5217498
The Contender ,0,7,25660,17804273
The Big Wedding ,8,5.6,74181,21784432
The Art of War ,0,5.7,3753,30199105
The Fast and the Furious ,2,6.7,135981,433536930
Casper ,0,6,2638,100328194
The Immigrant ,3,6.6,11019,1984743
Shadow Conspiracy ,2,4.9,2457,2154540
Supercross ,1,4,21519,3101301
The Imaginarium of Doctor Parnassus ,1,6.8,11769,7689458
Swimming Pool ,0,6.8,1389,10105505
Tammy ,0,4.9,2654,84518155
Centurion ,0,6.4,15293,122288
The Ice Storm ,0,7.5,1466,7837632
The Brothers Solomon ,2,5.3,3307,900926
The Hurt Locker ,0,7.6,11114,15700000
Adventureland ,6,6.8,18983,16025394
The Hurricane ,0,7.6,20516,50668906
The Game Plan ,0,6.2,15170,90636983
The Hunt for Red October ,1,7.6,2575,122012643
The Hunger Games: Catching Fire ,1,7.6,49355,424645577
The Expendables 2 ,3,6.7,57881,85017401
The Adjustment Bureau ,2,7.1,14607,62453315
Texas Rangers ,2,5.2,2120,623374
The Hunger Games ,0,7.3,49942,407999255
Failure to Launch ,2,5.6,37967,88658172
The Hundred-Foot Journey ,3,7.3,1484,54235441
Nicholas Nickleby ,1,7.2,29177,1309849
The Howling ,0,6.6,4438,17986000
The Class ,7,7.5,17,3766595
South Park: Bigger Longer & Uncut ,1,7.8,3003,52008288
The House Bunny ,1,5.5,18789,48237389
Paranormal Activity 3 ,0,5.8,2371,104007828
Curse of the Golden Flower ,2,7,949,6565495
The Faculty ,1,6.4,12170,40064955
The Hours ,3,7.6,12624,41597830
The Horseman on the Roof ,1,7.1,1508,1877179
The Holy Girl ,0,6.7,358,304124
Phenomenon ,1,6.4,5975,104632573
A Most Violent Year ,0,7,3979,5749134
The Hebrew Hammer ,1,6.2,6227,19539
The Caveman's Valentine ,0,6,1767,687081
The Heat ,7,6.6,4825,159578352
Stiff Upper Lips ,2,6.4,1477,69582
Modern Times ,1,8.6,352,163245
The Haunting of Molly Hartley ,5,3.8,4856,13350177
The Haunting ,0,4.9,17786,91188905
Book of Shadows: Blair Witch 2 ,0,4,608,26421314
The Harvest/La Cosecha ,0,7.2,0,2245
The Happening ,0,5,13654,64505912
Rise of the Planet of the Apes ,0,7.6,13118,176740650
Home Alone 2: Lost in New York ,2,6.6,7860,173585516
The Hangover ,3,7.8,17623,277313371
Ordinary People ,3,7.8,5122,54800000
The Devil's Own ,0,6.1,26088,42877165
The Gunman ,0,5.8,1686,10640645
The Guilt Trip ,1,5.8,1070,37101011
The Grudge 2 ,0,5,5746,39143839
The Grey ,1,6.8,16606,51533608
The Green Inferno ,0,5.4,2082,7186670
The Greatest Show on Earth ,0,6.7,825,36000000
Kill Bill: Vol. 2 ,0,8,1959,66207920
The Diving Bell and the Butterfly ,1,8,1372,5990075
Superman IV: The Quest for Peace ,6,3.6,3007,15681020
Insidious: Chapter 2 ,0,6.6,2975,83574831
The Great Raid ,0,6.7,12133,10166502
The Great Beauty ,2,7.7,456,2835886
American Graffiti ,1,7.5,14954,115000000
The Grandmaster ,1,6.5,943,6594136
The Fourth Kind ,0,5.9,15251,25464480
Blackhat ,1,5.4,28129,7097125
The Grace Card ,7,6.4,77046,2428241
The Good Thief ,0,6.6,2759,3517797
The Good Guy ,2,5.9,3124,100503
Super Size Me ,2,7.3,0,11529368
The Good Girl ,3,6.5,27646,14015786
The Godfather: Part II ,1,9,39960,57300000
The Boy ,0,6,4687,35794166
The Glimmer Man ,1,5.3,3855,20400913
Serving Sara ,2,5.3,4169,16930185
Dragonslayer ,0,6.7,1263,6000000
Due Date ,3,6.6,23018,100448498
The Giver ,3,6.5,36064,45089048
The Girl Next Door ,2,6.8,911,14589444
The Ghost Writer ,2,7.2,2507,15523168
Medicine Man ,2,6,519,45500797
The Game ,1,7.8,1397,48265581
The Fugitive ,1,7.8,13357,183875760
Return to Never Land ,1,5.8,3402,48423368
Rachel Getting Married ,1,6.7,12274,12796277
Bella ,0,7.4,2747,8108247
Lone Star ,2,7.6,11400,13269963
The Four Feathers ,2,6.5,3142,18306166
American Ninja 2: The Confrontation ,0,4.7,872,4000000
The Flowers of War ,2,7.6,23240,9213
The Craft ,0,6.2,1812,24881000
The Flintstones in Viva Rock Vegas ,0,3.6,6299,35231365
The Flintstones ,2,4.8,3244,130512915
The Fisher King ,1,7.6,12947,41895491
The First Wives Club ,3,6.2,3143,105444419
The Fighter ,2,7.9,23811,93571803
Beautiful Creatures ,7,6.2,3580,19445217
The Fifth Estate ,1,6.2,36337,3254172
The Fast and the Furious: Tokyo Drift ,5,6,1235,62494975
Indiana Jones and the Temple of Doom ,2,7.6,11898,179870271
The Family Stone ,0,6.3,1615,6061759
The Eye ,1,5.4,18765,31397498
The Big Short ,4,7.8,57308,70235322
The Expendables 3 ,15,6.1,52610,39292022
The English Patient ,0,7.4,15912,78651430
The End of the Affair ,0,7.2,672,10660147
A Civil Action ,1,6.5,4713,56702901
The Emperor's New Groove ,1,7.3,2039,89296573
The East ,4,6.9,13180,2268296
Halloween II ,0,4.9,6452,66772256
The Divide ,4,5.8,4920,22000
The Dilemma ,2,5.3,18510,48430355
The Dictator ,0,6.4,1375,59617068
The Devil's Double ,1,7.1,35561,1357042
My Fellow Americans ,3,6.5,4629,22294341
The Devil Inside ,0,4.2,988,53245055
The Descendants ,0,7.3,9578,82624961
The Departed ,0,8.5,45648,132373442
Con Air ,6,6.8,15362,101087161
Half Baked ,0,6.7,2400,17278980
The Deep End of the Ocean ,1,6.3,4327,13376506
Prince of Persia: The Sands of Time ,2,6.6,16149,90755643
